num;callsign;dmrid;name;country;ctry
113;2E0IJK;2352615;Dave;United Kingdom;GBR
114;2E0IKK;2352042;Peter;United Kingdom;GBR
115;2E0ILO;2351934;Milo;United Kingdom;GBR
116;2E0ILO;2351827;Milo;United Kingdom;GBR
117;2E0IOG;2352445;Darren;United Kingdom;GBR
118;2E0IPC;2351223;William;United Kingdom;GBR
119;2E0IRX;2352440;Gordon;United Kingdom;GBR
120;2E0JBQ;2352378;Duncan;United Kingdom;GBR
121;2E0JBR;2351343;Jamie;United Kingdom;GBR
122;2E0JCM;2351131;John;United Kingdom;GBR
123;2E0JCM;2351809;John Gerrard;United Kingdom;GBR
124;2E0JCW;2351918;Jack;United Kingdom;GBR
125;2E0JDK;2341006;John;United Kingdom;GBR
126;2E0JFM;2351718;Jason;United Kingdom;GBR
127;2E0JFQ;2351995;John;United Kingdom;GBR
128;2E0JJM;2352147;John;United Kingdom;GBR
129;2E0JJX;2351587;John;United Kingdom;GBR
130;2E0JNH;2341075;James;United Kingdom;GBR
131;2E0JNP;2352150;John;United Kingdom;GBR
132;2E0JPC;2352967;John;United Kingdom;GBR
133;2E0JTP;2352296;Jonathan;United Kingdom;GBR
134;2E0JUW;2352987;Adrian;United Kingdom;GBR
135;2E0JXP;2352011;Jani;United Kingdom;GBR
136;2E0JXP;2352242;Jani;United Kingdom;GBR
137;2E0KAJ;2351823;James;United Kingdom;GBR
138;2E0KBF;2341162;Barry;United Kingdom;GBR
139;2E0KBL;2351544;Sean;United Kingdom;GBR
140;2E0KCB;2352794;Keith;United Kingdom;GBR
141;2E0KCC;2352760;Richard;United Kingdom;GBR
142;2E0KDL;2352822;Derek;United Kingdom;GBR
143;2E0KME;2351511;Kim;United Kingdom;GBR
144;2E0KOR;2352581;Lee;United Kingdom;GBR
145;2E0KSG;2351928;Katrina;United Kingdom;GBR
146;2E0KSH;2352052;Krystyna;United Kingdom;GBR
147;2E0KSR;2352045;Krystina;United Kingdom;GBR
148;2E0KSY;2352219;John;United Kingdom;GBR
149;2E0KVJ;2341091;David;United Kingdom;GBR
150;2E0KZM;2351688;Matthew;United Kingdom;GBR
151;2E0LAI;2351117;Leslie;United Kingdom;GBR
152;2E0LBZ;2352940;David;United Kingdom;GBR
153;2E0LDS;2351199;Simon;United Kingdom;GBR
154;2E0LGZ;2351209;Gary;United Kingdom;GBR
155;2E0LLD;2352834;Edwin;United Kingdom;GBR
156;2E0LLE;2352554;Richard;United Kingdom;GBR
157;2E0LMB;2351868;Geff;United Kingdom;GBR
158;2E0LPA;2351329;Andy;United Kingdom;GBR
159;2E0LRK;2351755;Lee;United Kingdom;GBR
160;2E0LSR;2351028;Kevin;United Kingdom;GBR
161;2E0LSR;2352271;Kevin;United Kingdom;GBR
162;2E0LTF;2341224;Lee;United Kingdom;GBR
163;2E0LXA;2351042;Adam;United Kingdom;GBR
164;2E0MBH;2351091;Mark;United Kingdom;GBR
165;2E0MBQ;2351495;Andrew;United Kingdom;GBR
166;2E0MDM;2352504;Steve;United Kingdom;GBR
167;2E0MDW;2352946;Martin;United Kingdom;GBR
168;2E0MEB;2351047;Paul;United Kingdom;GBR
169;2E0MEX;2341105;Robert;United Kingdom;GBR
170;2E0MFV;2352047;Darren;United Kingdom;GBR
171;2E0MKE;2352190;Michael;United Kingdom;GBR
172;2E0MKM;2351807;Keith;United Kingdom;GBR
173;2E0MLA;2351365;Alan;United Kingdom;GBR
174;2E0MLD;2351833;Matthew;United Kingdom;GBR
175;2E0MLL;2352635;Andrew;United Kingdom;GBR
176;2E0MOR;2341117;Alan;United Kingdom;GBR
177;2E0MPU;2341229;Samuel;United Kingdom;GBR
178;2E0MRE;2351195;Michael;United Kingdom;GBR
179;2E0MRV;2352239;Thomas;United Kingdom;GBR
180;2E0MRW;2352909;Scott;United Kingdom;GBR
181;2E0MTC;2352534;Catherine;United Kingdom;GBR
182;2E0MUA;2351593;James;United Kingdom;GBR
183;2E0MUT;2351245;John;United Kingdom;GBR
184;2E0MVF;2352633;Michael;United Kingdom;GBR
185;2E0MVT;2351332;Darren;United Kingdom;GBR
186;2E0NCC;2351031;Nigel;United Kingdom;GBR
187;2E0NCL;2352221;Christopher;United Kingdom;GBR
188;2E0NGC;2351979;Lee;United Kingdom;GBR
189;2E0NKF;2351071;Steven;United Kingdom;GBR
190;2E0NNX;2351815;Daniel;United Kingdom;GBR
191;2E0NVK;2351225;Laurence;United Kingdom;GBR
192;2E0NVK;2351154;Laurence;United Kingdom;GBR
193;2E0OAI;2352459;David;United Kingdom;GBR
194;2E0OCL;2352802;Leanne;United Kingdom;GBR
195;2E0ODT;2352804;Belinda;United Kingdom;GBR
196;2E0OEE;2352803;Jack;United Kingdom;GBR
